PSI (PSI20);Altri;428;4,224;4,200;4,264;2023-08-14
PSI (PSI20);BCP;430;0,2455;0,2401;0,2461;2023-08-14
PSI (PSI20);Corticeira Amorim;15156;10,06;10,04;10,14;2023-08-14
PSI (PSI20);CTT Correios de Portugal SA;49929;3,42;3,40;3,43;2023-08-14
PSI (PSI20);EDP Renováveis;14606;16,98;16,89;17,14;2023-08-14
PSI (PSI20);Energias de Portugal;424;4,167;4,148;4,190;2023-08-14
PSI (PSI20);Galp Energia;421;12,12;12,02;12,30;2023-08-14
PSI (PSI20);Greenvolt Energias Renovaveis;1174982;6,270;6,220;6,325;2023-08-14
PSI (PSI20);Ibersol Reg;15165;6,76;6,72;6,86;2023-08-14
PSI (PSI20);Jeronimo Martins;423;24,16;23,98;24,16;2023-08-14
PSI (PSI20);Mota-Engil;433;2,465;2,400;2,465;2023-08-14
PSI (PSI20);Nos SGPS SA;13807;3,30;3,30;3,32;2023-08-14
PSI (PSI20);REN;434;2,460;2,455;2,475;2023-08-14
PSI (PSI20);Semapa;437;12,90;12,90;12,96;2023-08-14
PSI (PSI20);Sonae;439;0,9640;0,9600;0,9675;2023-08-14
PSI (PSI20);The Navigator;431;3,216;3,194;3,220;2023-08-14
DAX (GDAXI);Adidas;348;178,20;176,70;179,66;2023-08-14
DAX (GDAXI);Airbus Group;962988;130,62;129,64;131,06;2023-08-14
DAX (GDAXI);Allianz;347;224,30;222,80;224,70;2023-08-14
DAX (GDAXI);BASF;345;46,360;46,120;46,920;2023-08-14
DAX (GDAXI);Bayer;346;52,71;52,43;52,92;2023-08-14
DAX (GDAXI);Beiersdorf;6283;121,300;120,500;121,550;2023-08-14
DAX (GDAXI);BMW;652;100,100;98,820;100,920;2023-08-14
DAX (GDAXI);Brenntag AG;14145;71,220;70,640;71,680;2023-08-14
DAX (GDAXI);Commerzbank;358;10,155;10,100;10,360;2023-08-14
DAX (GDAXI);Continental;353;67,26;66,58;67,56;2023-08-14
DAX (GDAXI);Covestro;958839;48,320;46,250;50,640;2023-08-14
DAX (GDAXI);Daimler Truck Holding;1181372;33,88;33,59;34,13;2023-08-14
DAX (GDAXI);Deutsche Bank;352;9,976;9,907;10,042;2023-08-14
DAX (GDAXI);Deutsche Borse;359;169,900;168,900;170,000;2023-08-14
DAX (GDAXI);Deutsche Post;354;43,850;43,505;44,035;2023-08-14
DAX (GDAXI);Deutsche Tel.;656;19,012;18,832;19,076;2023-08-14
DAX (GDAXI);Dr Ing hc F Porsche Prf;1194617;104,55;103,20;105,00;2023-08-14
DAX (GDAXI);E.ON;9251;11,190;11,050;11,195;2023-08-14
DAX (GDAXI);Fresenius SE;6284;29,870;29,570;30,350;2023-08-14
DAX (GDAXI);Hannover Rueckversicherung AG;6298;199,40;196,45;199,40;2023-08-14
DAX (GDAXI);Heidelbergcement;6334;76,120;74,800;76,200;2023-08-14
DAX (GDAXI);Henkel;357;71,30;70,42;72,48;2023-08-14
DAX (GDAXI);Infineon;659;33,465;32,945;33,530;2023-08-14
DAX (GDAXI);Mercedes Benz Group;355;68,840;68,560;69,270;2023-08-14
DAX (GDAXI);Merck;658;162,55;161,70;164,15;2023-08-14
DAX (GDAXI);Mtu Aero Engines Holding AG;6321;208,50;206,40;208,90;2023-08-14
DAX (GDAXI);Munchener Ruck;662;350,20;346,30;350,80;2023-08-14
DAX (GDAXI);Porsche Automobil Holding SE;356;50,320;50,220;50,880;2023-08-14
DAX (GDAXI);Qiagen NV;6336;40,120;39,540;40,190;2023-08-14
DAX (GDAXI);Rheinmetall;665;264,800;258,900;264,800;2023-08-14
DAX (GDAXI);RWE;6306;39,070;38,880;39,250;2023-08-14
DAX (GDAXI);SAP;663;127,140;125,360;127,240;2023-08-14
DAX (GDAXI);Sartorius AG Vz;19900;365,700;360,100;365,700;2023-08-14
DAX (GDAXI);Siemens;350;138,72;137,30;139,30;2023-08-14
DAX (GDAXI);Siemens Energy AG;1166602;13,70;13,68;13,88;2023-08-14
DAX (GDAXI);Siemens Healthineers;1072226;47,11;46,95;47,61;2023-08-14
DAX (GDAXI);Symrise AG;6328;91,940;91,680;92,480;2023-08-14
